COUNTRY,Counts,dist_to_country_min,dist_to_country_max,dist_spread,variance,avg_pairwise,maxmin_pairwise,std_pairwise,median_pairwise,trans_avg_pairwise,trans_maxmin_pairwise,trans_quantile_pairwise,trans_std_pairwise,trans_median_pairwise,top5_cum_variance,num_cluster,cluster_ratio,GDP per person employed (constant 2005-2023 PPP $),eco_feature1,Sigmoid GDP per person employed (constant 2005-2023 PPP $),personality_index,Color_Flag,Annotation
Malaysia,3819,0.0,0.5465804484909456,0.5465804484909456,45.19443131351545,0.0349911673522242,0.6716966399070793,0.0234489041893221,0.030048528114926,0.2851027213590769,10.955422112400532,1.8078112031445357,0.5521756627931275,0.285311458509203,0.6657564600505638,7.0,2.700064682792712,59097.53586,10.98694450810871,1.0,0.285311458509203,No,
Finland,3452,0.0,0.3088954850628548,0.3088954850628548,55.576948680002936,0.0436125139334381,0.4555032937855457,0.0243516883678836,0.0382112824420214,0.3061957904667423,10.318373110599092,1.695394285239003,0.5166929119138876,0.3063139462918147,0.6755708993834361,5.0,2.382681551738084,120697.2972,11.701041014125707,1.0,0.3063139462918147,No,
South Africa,3137,0.0,0.7081560693987117,0.7081560693987117,55.81809320256959,0.0410482142239312,0.8578270952876282,0.0275717833914989,0.0358642268166909,0.3004650591407017,6.981849584805074,1.6647063206194537,0.5106147428554897,0.3004794196201112,0.66818315766752,6.0,2.55687434689911,45846.94083,10.733063754193653,1.0,0.3004794196201112,No,
Mexico,3106,0.0018285574837817,0.1164164996145649,0.1145879421307831,51.710299932190864,0.0390068946749708,0.3055700554778522,0.0227405430024639,0.0336846195982645,0.2944581325416864,10.214429779408986,1.8329792245290528,0.5558287703881347,0.2949231396158414,0.684922657818704,7.0,2.8386916744930897,51280.45479,10.845064960314975,1.0,0.2949231396158414,No,
Denmark,2095,0.0029073803921877,0.5598630875705471,0.5569557071783594,55.29814184472925,0.0421931712871218,0.6777740403409553,0.0283031955048674,0.0364922072461396,0.3018894140003172,9.583069369777334,1.7382282721306077,0.533936356936164,0.3020548907828377,0.6843584904478335,6.0,2.6290682215264094,130687.3911,11.780563422885132,1.0,0.3020548907828377,No,
Pakistan,1998,0.0,0.7581719316585688,0.7581719316585688,52.036473607757095,0.0353539739101927,0.9998299549764654,0.0323458855923655,0.0298385185723394,0.2853259477807199,8.679447311658073,1.7286405531351186,0.5382907035023614,0.2847416772493254,0.6855242495754039,8.0,2.938439295655817,15759.7079,9.66521182897615,1.0,0.2847416772493254,No,
Türkiye,1960,0.0,0.8360729160356944,0.8360729160356944,79.52780008702302,0.0697104349779698,0.9999877065453788,0.1248482164949179,0.0361569564100934,0.3109428539382962,11.306443581845375,3.4801570133211968,0.8480163875926503,0.3012151697311581,0.779800503656562,4.0,2.10840575574578,74093.96698,11.213089390695657,1.0,0.3012151697311581,No,
Portugal,1947,0.0,0.8400494703802599,0.8400494703802599,57.51400544964331,0.0404240375306666,0.9519031413317456,0.038629357026827,0.0333748315838805,0.2942855465552086,11.139929914889075,1.8642046093972449,0.5843073448342503,0.2941216948264397,0.7216866645707938,3.0,1.939735262045669,80561.98213,11.296782131484001,1.0,0.2941216948264397,No,
Spain,1924,0.0,0.6767941513617967,0.6767941513617967,58.298544504293645,0.0428183890098275,0.9999856337864876,0.037544218245913,0.0356092750541235,0.3007682940592441,11.150631392090816,1.7952248773198654,0.5597749586319408,0.2998366663899876,0.6959519384754155,6.0,2.7016422512708163,105367.3922,11.565208495307527,1.0,0.2998366663899876,No,
Greece,1838,0.0,0.4017177819193313,0.4017177819193313,53.26183489210347,0.0393102746040823,0.5350861302968428,0.0245182209161273,0.0341580883047787,0.2961671310859501,7.227262259232811,1.706638185123365,0.5226279384490438,0.2961422255962411,0.6636341303647986,7.0,2.7098304867373257,94163.58835,11.452788850277695,1.0,0.2961422255962411,No,
Belgium,1667,0.0,0.8176360320652114,0.8176360320652114,56.90560324785731,0.0434235760099407,0.9993693065642364,0.0436742579270253,0.0361871466930083,0.3018683458510387,7.368690652207564,1.731192985107028,0.548309249486001,0.3012909152497942,0.6870097961965014,5.0,2.3943754011423013,141832.7451,11.862403790962805,1.0,0.3012909152497942,No,
Russia,1577,0.0,0.812074371319697,0.812074371319697,59.74925621315559,0.046961140456447,0.9999484202031748,0.0444361113833107,0.0391397792388333,0.3090440087278221,9.872380496543071,1.7895336743289705,0.560745358775573,0.3085833104473339,0.6969121998472523,6.0,2.5625840632392323,72491.65036,11.19122666676221,1.0,0.3085833104473339,No,
Israel,1368,0.0,0.3392873228737456,0.3392873228737456,62.01673750690391,0.0422255642966996,0.4857499078727852,0.0298441960924241,0.0355949889048203,0.3003952268404467,10.46331319025089,1.7965089304638342,0.5579299390497242,0.2998005955366995,0.7131927345400287,5.0,2.4087272044215657,93843.65914,11.449385475960144,1.0,0.2998005955366995,No,
Croatia,1256,0.0,0.0860819446431698,0.0860819446431698,54.649902269391966,0.0407066738273055,0.2126873897395425,0.0216749623374081,0.035881774011052,0.3000035645033229,5.487119169321695,1.710202786301183,0.5189647923122062,0.3005235902194869,0.6864808956600228,7.0,3.040733796841682,80127.01876,11.291368389038185,1.0,0.3005235902194869,No,
Serbia,1225,0.0028136159956628,0.5647299054243822,0.5619162894287193,55.394035131522834,0.0419819733885679,0.6992817817304378,0.0329544960181908,0.0355635322401527,0.2988109124729057,8.096081861883336,1.8833887022054925,0.58292474509727,0.2997211507020363,0.699865742656454,6.0,2.786078293636054,47591.72714,10.770414225534783,1.0,0.2997211507020363,No,
Switzerland,1064,0.0,0.102961049599822,0.102961049599822,54.976846336347336,0.0412853490256317,0.2442649475139467,0.0229123663789689,0.0357610191847768,0.3006682297232368,8.78476171433713,1.7430260857480793,0.5281548319039677,0.3002194458491601,0.673707292626238,7.0,2.917110447163987,140634.9584,11.853922864722426,1.0,0.3002194458491601,No,
Trinidad and Tobago,831,0.0,0.4957768671680931,0.4957768671680931,50.22833417612173,0.0358576308195611,0.6216459040517671,0.0303555916427117,0.0304151179834799,0.2867783010197345,6.735870803438092,1.6944203016922406,0.5322553642065072,0.2863019825304462,0.679100498179393,7.0,2.778119416334308,70398.89572,11.161932856227656,1.0,0.2863019825304462,No,
