COUNTRY,Counts,dist_to_country_min,dist_to_country_max,dist_spread,variance,avg_pairwise,maxmin_pairwise,std_pairwise,median_pairwise,trans_avg_pairwise,trans_maxmin_pairwise,trans_quantile_pairwise,trans_std_pairwise,trans_median_pairwise,top5_cum_variance,num_cluster,cluster_ratio
Sudan,91,0.006054876147824517,0.0876980948053332,0.08164321865750868,51.906374085684426,0.040611126627153216,0.1614208312192894,0.022145795051196602,0.03529666138171372,0.2997996467415161,3.6781014487613417,1.7057644766262774,0.5126320770116694,0.29904602243928935,0.6588125960776341,3.0,1.8431630399548447
Cayman Islands,82,0.005744904627915659,0.13340021148276404,0.12765530685484838,53.48556157783799,0.041320313601750494,0.25835362596124267,0.026756414107390984,0.03542023518887716,0.29966064176417356,4.1102521025524155,1.6904970096324843,0.5335166883002215,0.2993588923990583,0.6994361516600909,3.0,2.007955071646977
Luxembourg,81,0.005966202813698418,0.07372476248277704,0.06775855966907862,55.18379953379954,0.04241633067632439,0.18958189131809255,0.022938984770419866,0.03717036729805523,0.30389292400792234,3.5269006663429945,1.7064383954744202,0.5125396960312374,0.303744248072916,0.706988757743334,4.0,2.2248738447140077
Tanzania,80,0.002989754204118955,0.06632363905520666,0.06333388485108771,39.72284972411554,0.029505199550131103,0.12932402846555457,0.01764611867949252,0.024777540565342537,0.27101013102695776,3.4222286686616306,1.9498662484219196,0.5854190722759852,0.27042977570873955,0.65115814827702,5.0,2.3425657731845906
Guam,79,0.005413313171874656,0.04524874682421398,0.039835433652339325,53.36911597174755,0.03833143481094479,0.1281398474941705,0.01933327932718086,0.03455440584190089,0.29549577238878316,3.914076470410717,1.651981860571937,0.5052170587467701,0.29715735208523636,0.7143979199380139,4.0,2.203131572579771
Nicaragua,77,0.006424627218835632,0.06170074404528614,0.055276116826450505,53.147789473684206,0.04112178094032888,0.13916172426289142,0.02161447821327726,0.03612877946718046,0.30054715610364763,3.5601038209310474,1.701040489242601,0.5317520966599095,0.30114444944181257,0.6809914012738122,4.0,2.381014701821575
Haiti,75,0.0035225333248430912,0.05039587350131791,0.04687334017647482,46.06193922796035,0.033288976988250056,0.12754834280646388,0.018101779242321592,0.028966938319924307,0.2826493289069299,3.2172465516907907,1.7008088081891102,0.5224995465764805,0.2823582376877146,0.6760039541256013,4.0,2.260033930443032
Oman,75,0.004540866915583752,0.0713941351944768,0.06685326827889304,44.86713379164464,0.03525039368214509,0.1422181895822081,0.02010625305103994,0.030089126120869336,0.2867499249786188,3.588557107598559,1.7652658013802487,0.5328848427043994,0.28542140820677225,0.6634475676852611,4.0,2.227618905783408
Mongolia,73,0.0,0.07562789360079392,0.07562789360079392,72.09470827679783,0.034369535437215465,0.1619882617807964,0.02173246820706072,0.02811131453603888,0.282507709257128,3.416426275258325,1.903052046717368,0.5761844906833453,0.27998788304166267,0.8100469134053515,4.0,2.086076273731192
Antigua,73,0.0,0.8349205548024641,0.8349205548024641,162.3505115089514,0.18599801540637503,1.0,0.2896747284360439,0.04785929702145503,0.37813817702543373,5.424564956935217,3.8993027785693086,1.2597421940429112,0.329009798552574,0.8864665498260191,2.0,1.6716890779150575
Aruba,71,0.0,0.8232719678871169,0.8232719678871169,128.61383012820514,0.10225691410441165,0.997499875802274,0.18551701850497682,0.04116326668918069,0.33424875919655256,5.9914148692515266,3.9403579987480235,1.0019264638819618,0.3134590859512819,0.8721692022996904,3.0,2.195377545200766
Cameroon,65,0.004460282182029873,0.06680799372615698,0.062347711544127105,54.14759424603174,0.04047060774486687,0.15748809958044352,0.023406626434492612,0.03517696452717928,0.29672156353246465,4.322672162309015,1.9162477505799371,0.5848100337426206,0.2987425329571952,0.7281820282282433,4.0,2.31396614422442
Macau,62,0.003661849913663251,0.04000753436137827,0.03634568444771502,36.18208898944193,0.030714871475226745,0.08416606914667579,0.014904423001902747,0.027634630054827303,0.27805831684576454,2.7188945147567964,1.5591805216033885,0.4816845097332308,0.27865355585786905,0.640892528206144,4.0,2.205168434444526
Guyana,60,0.0045922489221323914,0.07567272545014203,0.07108047652800964,54.65532015065913,0.04169377167206599,0.17839904206157886,0.024091349064118923,0.035903687745314716,0.30055302294228936,3.7938986202632328,1.7861459608784158,0.550493376569598,0.3005787247320202,0.7236286208361482,5.0,2.6539872082150007
Paraguay,59,0.004983265165127371,0.11638070459813643,0.11139743943300906,51.84214703425229,0.04171333506756716,0.22201056986689782,0.02556105608325415,0.036207078201921095,0.3008655452694314,3.893766047346417,1.6700891895842416,0.535192370986885,0.3013409075364311,0.7166427689526622,4.0,2.221861644650225
Arabian Gulf,59,0.0,0.06614635512902856,0.06614635512902856,85.4981369248036,0.042810756198763046,0.14319765606931945,0.02288587191378207,0.03735953036220219,0.3046065764862806,3.2663674762454145,1.738330666279004,0.519240522982149,0.3042133022486422,0.7971572977076739,4.0,2.392909016107533
Namibia,58,0.0,0.05091718347130403,0.05091718347130403,69.25432098765432,0.037685243072757564,0.16552323944826264,0.020546368277988378,0.032981901833001426,0.293593416096104,3.7161981936563384,1.6455915167154034,0.5012637816353414,0.2931007342972975,0.7712677848295344,5.0,2.546721604238623
Bermuda,57,0.004576073957703541,0.10369103697646087,0.09911496301875733,55.811764069264065,0.04371012796386784,0.18435874540602748,0.026451982057834,0.036791159755570235,0.30446710456357506,4.032853544650866,1.8255771653964605,0.5516608861322115,0.3028011135493589,0.7232644756666,4.0,2.3027097374681333
Belize,55,0.006979122490491707,0.10890101321567114,0.10192189072517943,70.54393198229677,0.04062601230871704,0.2040841641977903,0.02571881972606966,0.034487734711367235,0.2980822536925388,3.550161328600788,1.7483843510213957,0.5367535112859048,0.2969869309329676,0.7715851674345862,4.0,2.2617764576930486
Uzbekistan,54,0.005751533754772664,0.047299208461285436,0.04154767470651277,56.52203676826318,0.03941026949920628,0.13329031678210324,0.017868552787212427,0.03646350638021201,0.29994467219962756,3.0887212530916623,1.4921182226865088,0.45481358008510214,0.3019830544735904,0.7246271935788655,5.0,2.5102201207459314
Maldives,52,0.004100718001091352,0.0658575684335263,0.06175685043243495,45.24630065359478,0.03634650911297236,0.13762676239307303,0.02173806041853499,0.030120176898935203,0.28825627953675276,3.537484371947552,1.8050074235856481,0.5520596911207357,0.285505458625615,0.7056110139459822,4.0,2.4737517323305975
